epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.4283,1.83646,1.81001,1.05446,0.70237,0.51459,0.53347,0.18938,2.05002,1.61701,1.37836,0.000236727,0.000236727,0.000236727
2,74.8288,1.53025,0.94508,0.98024,0.72458,0.54907,0.5794,0.26164,1.67306,1.15331,1.21689,0.000470027,0.000470027,0.000470027
3,107.18,1.42996,0.8329,0.95937,0.70822,0.5567,0.58299,0.26455,1.71886,1.21669,1.26606,0.000698615,0.000698615,0.000698615
4,139.096,1.34397,0.75415,0.94164,0.72573,0.55703,0.59015,0.26612,1.69134,1.03381,1.23493,0.000692794,0.000692794,0.000692794
5,170.709,1.27269,0.68665,0.92301,0.73584,0.55968,0.59099,0.26544,1.74182,1.03653,1.26671,0.000685726,0.000685726,0.000685726
6,202.255,1.21472,0.6535,0.91534,0.72374,0.55505,0.57505,0.24897,1.8226,1.07423,1.27371,0.000678657,0.000678657,0.000678657
7,233.649,1.15892,0.61992,0.90501,0.72181,0.59705,0.62636,0.27337,1.7537,1.02578,1.25777,0.000671588,0.000671588,0.000671588
8,265.088,1.12469,0.60101,0.89986,0.7249,0.58711,0.60716,0.2764,1.70907,1.04149,1.27691,0.00066452,0.00066452,0.00066452
9,296.43,1.0567,0.56654,0.88427,0.74863,0.59085,0.63542,0.29797,1.6599,0.95318,1.25852,0.000657451,0.000657451,0.000657451
10,327.878,1.0232,0.55154,0.88384,0.73556,0.59118,0.62804,0.28613,1.65681,0.96796,1.24522,0.000650383,0.000650383,0.000650383
11,359.444,0.98595,0.53525,0.87704,0.7368,0.58786,0.62717,0.28526,1.69429,0.93677,1.25126,0.000643314,0.000643314,0.000643314
12,391.396,0.96508,0.52392,0.87429,0.72155,0.60056,0.63178,0.29063,1.70694,0.94756,1.25563,0.000636245,0.000636245,0.000636245
13,422.954,0.92753,0.50568,0.86906,0.74124,0.61453,0.64197,0.30678,1.65042,0.9166,1.24488,0.000629177,0.000629177,0.000629177
